,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,1,42,True,True,False,29,44.961,1,39
1,1,1,42,True,True,False,122,115.429,10,177
2,2,1,42,True,True,False,15,34.814,0,15
3,3,1,42,True,True,False,41,54.764,2,50
4,4,1,42,True,True,False,107,69.317,20,287
5,5,1,42,False,False,True,216,65.275,50,520
6,6,1,42,True,True,False,47,26.511,14,110
7,7,1,42,True,True,False,87,84.688,8,149
8,8,1,42,False,False,True,117,9.35,27,520
9,9,1,42,True,True,False,11,29.504,0,12
10,10,1,42,True,True,False,8,27.156,0,10
11,11,1,42,False,False,True,114,-76.925,66,520
12,12,1,42,True,True,False,68,75.663,5,79
13,13,1,42,True,True,False,45,57.521,3,51
14,14,1,42,True,True,False,9,28.732,0,9
15,15,1,42,True,True,False,38,51.467,2,43
16,16,1,42,True,True,False,17,32.785,1,19
17,17,1,42,False,False,True,210,92.8,32,520
18,18,1,42,True,True,False,166,130.336,18,333
19,19,1,42,True,True,False,66,63.867,4,77
20,20,1,42,False,False,True,182,95.675,19,520
21,21,1,42,True,True,False,47,59.817,3,54
22,22,1,42,True,True,False,17,30.807,2,20
23,23,1,42,True,True,False,63,71.939,4,70
24,24,1,42,True,True,False,13,32.281,0,13
25,25,1,42,True,True,False,56,60.951,3,64
26,26,1,42,True,True,False,67,59.45,5,77
27,27,1,42,True,True,False,91,98.731,6,107
28,28,1,42,True,True,False,18,35.665,1,20
29,29,1,42,True,True,False,56,67.425,3,61
30,30,1,42,True,True,False,98,99.405,7,131
31,31,1,42,True,True,False,46,56.46,3,53
32,32,1,42,True,True,False,122,128.341,5,135
33,33,1,42,True,True,False,11,27.78,0,12
34,34,1,42,True,True,False,13,31.998,0,14
35,35,1,42,True,True,False,137,105.949,19,215
36,36,1,42,True,True,False,10,28.535,0,10
37,37,1,42,True,True,False,25,41.965,1,30
38,38,1,42,True,True,False,77,82.917,5,90
39,39,1,42,True,True,False,17,35.22,0,18
40,40,1,42,True,True,False,26,43.793,1,30
41,41,1,42,True,True,False,57,67.701,3,62
42,42,1,42,True,True,False,118,109.015,12,170
43,43,1,42,True,True,False,60,64.547,6,99
44,44,1,42,False,False,True,134,-5651.525,14,520
45,45,1,42,True,True,False,103,102.067,8,131
46,46,1,42,True,True,False,53,61.681,3,60
47,47,1,42,True,True,False,77,77.79,7,101
48,48,1,42,True,True,False,131,120.723,11,171
49,49,1,42,True,True,False,94,103.252,5,109
50,50,1,42,True,True,False,93,77.634,14,149
51,51,1,42,False,False,True,159,-130.175,129,520
52,52,1,42,True,True,False,68,80.775,3,79
53,53,1,42,True,True,False,9,28.332,0,9
54,54,1,42,True,True,False,104,101.598,8,134
55,55,1,42,True,True,False,147,-243.092,68,462
56,56,1,42,True,True,False,118,117.33,7,165
57,57,1,42,True,True,False,14,33.619,0,14
