,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,1,42,True,True,False,36,40.032,4,57
1,1,1,42,True,True,False,142,134.349,12,177
2,2,1,42,True,True,False,187,141.013,20,363
3,3,1,42,True,True,False,71,79.584,5,94
4,4,1,42,False,False,True,189,70.15,44,520
5,5,1,42,True,True,False,53,61.988,4,85
6,6,1,42,True,True,False,187,159.716,16,293
7,7,1,42,True,True,False,8,27.25,0,8
8,8,1,42,True,True,False,213,165.45,23,472
9,9,1,42,True,True,False,156,-4182.027,19,483
10,10,1,42,True,True,False,81,80.063,9,116
11,11,1,42,True,True,False,48,57.425,4,62
12,12,1,42,True,True,False,147,-2073.149,11,382
13,13,1,42,True,True,False,169,-1833.634,32,501
14,14,1,42,True,True,False,135,103.803,20,205
15,15,1,42,True,True,False,25,41.893,1,28
16,16,1,42,True,True,False,27,44.122,1,31
17,17,1,42,True,True,False,61,71.18,4,72
18,18,1,42,True,True,False,13,26.379,2,18
19,19,1,42,True,True,False,34,47.093,2,42
20,20,1,42,True,True,False,133,120.223,11,167
21,21,1,42,True,True,False,9,28.563,0,9
22,22,1,42,True,True,False,50,63.541,3,57
23,23,1,42,True,True,False,127,127.48,9,158
24,24,1,42,True,True,False,43,56.632,3,50
25,25,1,42,True,True,False,85,-4473.52,15,345
26,26,1,42,True,True,False,102,104.954,6,116
27,27,1,42,True,True,False,106,106.111,8,124
28,28,1,42,True,True,False,13,31.41,0,16
29,29,1,42,True,True,False,45,59.811,2,52
30,30,1,42,True,True,False,19,30.956,1,29
31,31,1,42,True,True,False,18,36.948,0,21
32,32,1,42,False,False,True,154,-299.95,211,520
33,33,1,42,True,True,False,160,157.119,9,201
34,34,1,42,True,True,False,104,101.785,9,119
35,35,1,42,True,True,False,44,55.709,3,52
36,36,1,42,False,False,True,79,-785.05,421,520
37,37,1,42,True,True,False,15,34.045,0,15
38,38,1,42,True,True,False,13,30.99,0,15
39,39,1,42,True,True,False,20,37.425,1,22
40,40,1,42,True,True,False,9,27.961,0,10
41,41,1,42,True,True,False,48,50.865,6,64
42,42,1,42,True,True,False,159,72.283,45,298
43,43,1,42,True,True,False,58,66.794,4,69
44,44,1,42,True,True,False,21,38.199,1,23
45,45,1,42,True,True,False,10,29.002,0,11
46,46,1,42,True,True,False,13,32.419,0,15
47,47,1,42,True,True,False,9,28.714,0,10
48,48,1,42,False,False,True,89,-246.0,8,520
49,49,1,42,True,True,False,125,-45.963,10,209
50,50,1,42,True,True,False,201,177.525,17,260
51,51,1,42,True,True,False,38,52.966,2,46
52,52,1,42,True,True,False,40,55.209,2,45
53,53,1,42,True,True,False,99,93.438,10,129
54,54,1,42,True,True,False,11,29.203,0,11
55,55,1,42,True,True,False,130,41.391,42,315
56,56,1,42,True,True,False,24,40.211,1,26
57,57,1,42,True,True,False,32,46.958,2,39
58,58,1,42,True,True,False,80,85.717,6,98
59,59,1,42,True,True,False,90,93.627,6,118
60,60,1,42,True,True,False,55,68.17,3,64
61,61,1,42,True,True,False,30,38.21,4,40
62,62,1,42,True,True,False,120,116.397,10,162
63,63,1,42,True,True,False,125,121.377,10,150
64,64,1,42,True,True,False,105,92.428,7,138
65,65,1,42,True,True,False,65,71.747,5,73
66,66,1,42,True,True,False,18,34.797,1,21
67,67,1,42,True,True,False,25,40.614,1,28
68,68,1,42,True,True,False,136,40.305,48,260
69,69,1,42,True,True,False,96,88.498,7,120
70,70,1,42,True,True,False,80,84.19,6,100
71,71,1,42,True,True,False,13,29.324,1,19
72,72,1,42,True,True,False,20,34.428,1,24
73,73,1,42,True,True,False,86,75.418,11,110
74,74,1,42,True,True,False,23,40.81,1,25
75,75,1,42,True,True,False,25,42.005,1,31
76,76,1,42,True,True,False,53,62.942,4,61
77,77,1,42,True,True,False,8,27.603,0,8
78,78,1,42,True,True,False,14,32.859,0,15
79,79,1,42,True,True,False,12,29.581,1,16
80,80,1,42,True,True,False,14,33.817,0,14
81,81,1,42,True,True,False,41,52.824,3,46
82,82,1,42,True,True,False,19,37.362,0,21
83,83,1,42,True,True,False,37,46.447,4,41
84,84,1,42,True,True,False,15,33.839,0,16
85,85,1,42,True,True,False,101,83.199,12,137
86,86,1,42,True,True,False,12,30.966,0,13
87,87,1,42,True,True,False,93,91.492,9,143
88,88,1,42,True,True,False,94,-1652.036,14,289
89,89,1,42,True,True,False,20,35.046,1,24
90,90,1,42,True,True,False,16,34.968,0,18
91,91,1,42,True,True,False,115,89.075,17,167
92,92,1,42,True,True,False,14,32.891,0,15
93,93,1,42,False,False,True,168,-5233.4,15,520
94,94,1,42,True,True,False,46,55.576,3,67
95,95,1,42,True,True,False,24,-406.955,149,177
96,96,1,42,True,True,False,10,28.809,0,12
97,97,1,42,True,True,False,164,138.874,20,251
98,98,1,42,True,True,False,13,32.12,0,14
99,99,1,42,True,True,False,20,37.795,1,22
100,100,1,42,True,True,False,102,107.996,5,140
101,101,1,42,True,True,False,12,30.847,0,14
102,102,1,42,True,True,False,78,87.54,4,92
103,103,1,42,True,True,False,20,36.865,1,22
104,104,1,42,True,True,False,22,37.844,1,25
105,105,1,42,True,True,False,137,133.188,9,187
106,106,1,42,True,True,False,62,72.643,3,71
107,107,1,42,True,True,False,16,32.169,1,18
108,108,1,42,True,True,False,146,124.753,16,226
109,109,1,42,True,True,False,20,37.617,1,22
110,110,1,42,True,True,False,13,31.707,0,14
111,111,1,42,True,True,False,10,28.984,0,10
112,112,1,42,True,True,False,19,35.78,1,21
113,113,1,42,False,False,True,131,43.825,30,520
114,114,1,42,True,True,False,83,85.095,6,118
