,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,2,42,True,True,False,21,36.583,1,23
1,1,2,42,True,True,False,123,125.462,6,149
2,2,2,42,True,True,False,63,72.412,4,69
3,3,2,42,True,True,False,36,51.647,2,41
4,4,2,42,True,True,False,35,46.863,3,41
5,5,2,42,True,True,False,155,133.101,13,273
6,6,2,42,True,True,False,12,29.556,0,14
7,7,2,42,True,True,False,123,122.44,6,146
8,8,2,42,True,True,False,19,35.818,1,20
9,9,2,42,True,True,False,83,-38.569,20,279
10,10,2,42,True,True,False,66,80.707,2,75
11,11,2,42,True,True,False,15,33.428,0,16
12,12,2,42,True,True,False,89,84.572,9,134
13,13,2,42,True,True,False,16,33.068,0,21
14,14,2,42,True,True,False,78,85.909,4,96
15,15,2,42,True,True,False,91,93.266,5,106
16,16,2,42,True,True,False,41,52.879,2,47
17,17,2,42,True,True,False,93,99.254,6,122
18,18,2,42,True,True,False,67,81.43,2,74
19,19,2,42,True,True,False,19,33.215,1,25
20,20,2,42,True,True,False,10,28.468,0,13
21,21,2,42,True,True,False,26,32.137,5,35
22,22,2,42,True,True,False,40,53.253,2,47
23,23,2,42,True,True,False,47,60.444,2,54
24,24,2,42,True,True,False,8,27.797,0,8
25,25,2,42,True,True,False,78,89.387,3,92
26,26,2,42,True,True,False,121,100.279,17,201
27,27,2,42,True,True,False,37,46.756,4,48
28,28,2,42,True,True,False,21,37.122,1,23
29,29,2,42,True,True,False,88,92.915,5,101
30,30,2,42,True,True,False,14,32.716,0,15
31,31,2,42,True,True,False,81,87.06,5,99
32,32,2,42,True,True,False,81,89.474,4,91
33,33,2,42,True,True,False,181,175.57,10,259
34,34,2,42,True,True,False,106,-132.596,117,337
35,35,2,42,True,True,False,17,36.031,0,18
36,36,2,42,True,True,False,18,37.095,0,21
37,37,2,42,True,True,False,136,138.618,6,167
38,38,2,42,True,True,False,11,30.779,0,11
39,39,2,42,True,True,False,41,46.817,5,53
40,40,2,42,True,True,False,16,34.87,0,17
41,41,2,42,False,False,True,209,162.225,10,520
42,42,2,42,True,True,False,246,224.915,11,466
43,43,2,42,True,True,False,28,38.216,3,31
44,44,2,42,True,True,False,18,36.799,0,19
45,45,2,42,False,False,True,226,138.1,29,520
46,46,2,42,True,True,False,47,59.14,2,53
47,47,2,42,True,True,False,12,30.914,0,13
48,48,2,42,True,True,False,7,26.576,0,7
49,49,2,42,True,True,False,11,30.591,0,11
50,50,2,42,True,True,False,17,36.008,0,19
51,51,2,42,True,True,False,12,30.0,0,13
52,52,2,42,True,True,False,82,73.145,10,112
53,53,2,42,True,True,False,214,92.519,49,457
54,54,2,42,True,True,False,13,32.061,0,15
55,55,2,42,True,True,False,49,59.733,3,57
56,56,2,42,True,True,False,113,-27.33,54,323
57,57,2,42,True,True,False,24,39.178,1,28
58,58,2,42,True,True,False,133,128.475,10,155
59,59,2,42,True,True,False,27,42.694,1,28
60,60,2,42,True,True,False,24,33.026,3,30
61,61,2,42,True,True,False,43,53.974,3,48
62,62,2,42,True,True,False,129,129.445,6,170
63,63,2,42,True,True,False,175,116.867,25,355
64,64,2,42,True,True,False,11,29.774,0,12
65,65,2,42,True,True,False,47,57.428,3,55
66,66,2,42,True,True,False,198,119.851,37,365
67,67,2,42,True,True,False,11,30.07,0,11
68,68,2,42,False,False,True,96,60.1,5,520
69,69,2,42,True,True,False,43,50.499,4,59
70,70,2,42,True,True,False,88,97.678,4,99
71,71,2,42,True,True,False,144,133.994,10,199
72,72,2,42,True,True,False,8,27.19,0,10
73,73,2,42,True,True,False,12,31.613,0,14
74,74,2,42,True,True,False,30,45.168,1,32
75,75,2,42,True,True,False,18,33.582,1,19
76,76,2,42,True,True,False,8,27.793,0,8
77,77,2,42,True,True,False,165,118.253,20,350
78,78,2,42,True,True,False,18,37.067,0,20
79,79,2,42,True,True,False,39,52.988,2,45
80,80,2,42,True,True,False,8,27.81,0,8
81,81,2,42,True,True,False,72,80.999,4,80
82,82,2,42,True,True,False,144,145.642,6,161
83,83,2,42,True,True,False,13,32.076,0,16
84,84,2,42,True,True,False,28,43.677,1,30
85,85,2,42,True,True,False,10,28.678,0,11
86,86,2,42,True,True,False,22,38.382,1,23
87,87,2,42,True,True,False,84,92.683,4,92
88,88,2,42,True,True,False,88,98.292,3,96
89,89,2,42,True,True,False,15,34.071,0,16
90,90,2,42,True,True,False,20,36.457,1,22
91,91,2,42,True,True,False,124,100.583,14,214
92,92,2,42,True,True,False,156,145.2,11,198
93,93,2,42,True,True,False,172,158.403,13,228
94,94,2,42,True,True,False,25,41.92,1,27
95,95,2,42,True,True,False,48,59.291,3,53
96,96,2,42,True,True,False,12,31.026,0,13
97,97,2,42,True,True,False,36,44.383,3,45
98,98,2,42,True,True,False,74,82.785,4,84
99,99,2,42,True,True,False,106,102.903,9,136
100,100,2,42,True,True,False,9,28.165,0,9
101,101,2,42,False,False,True,222,101.675,44,520
102,102,2,42,True,True,False,46,54.29,4,57
