,episode,scene_id,seed,revealed,reached,timeout,unique_cells_covered,reward,collisions,decision_steps
0,0,2,42,True,True,False,104,108.112,4,128
1,1,2,42,True,True,False,25,38.668,2,31
2,2,2,42,True,True,False,45,60.677,1,46
3,3,2,42,True,True,False,41,57.427,1,44
4,4,2,42,True,True,False,41,14.052,3,96
5,5,2,42,True,True,False,103,109.291,5,124
6,6,2,42,True,True,False,164,149.764,11,274
7,7,2,42,True,True,False,117,41.442,12,231
8,8,2,42,True,True,False,93,86.849,5,115
9,9,2,42,False,False,True,89,-174.3,93,520
10,10,2,42,True,True,False,146,119.584,14,246
11,11,2,42,True,True,False,93,74.048,14,142
12,12,2,42,True,True,False,9,24.637,1,9
13,13,2,42,True,True,False,92,89.122,8,129
14,14,2,42,True,True,False,60,71.09,3,68
15,15,2,42,True,True,False,55,40.311,8,84
16,16,2,42,True,True,False,68,76.744,3,76
17,17,2,42,True,True,False,161,146.017,12,282
18,18,2,42,True,True,False,62,45.005,3,79
19,19,2,42,False,False,True,182,56.85,45,520
20,20,2,42,True,True,False,11,29.755,0,11
21,21,2,42,True,True,False,35,16.048,5,70
22,22,2,42,True,True,False,44,53.378,3,58
23,23,2,42,True,True,False,80,90.616,4,88
24,24,2,42,True,True,False,105,104.439,7,133
25,25,2,42,True,True,False,78,14.691,4,94
26,26,2,42,True,True,False,54,13.221,4,82
27,27,2,42,True,True,False,42,58.099,1,43
28,28,2,42,True,True,False,38,47.008,4,51
29,29,2,42,True,True,False,31,26.249,1,36
30,30,2,42,True,True,False,65,70.207,5,76
31,31,2,42,True,True,False,9,28.251,0,8
32,32,2,42,True,True,False,61,62.866,7,87
33,33,2,42,False,False,True,171,-66.625,85,520
34,34,2,42,True,True,False,175,143.003,17,282
35,35,2,42,True,True,False,17,34.621,1,18
36,36,2,42,True,True,False,20,32.995,2,23
37,37,2,42,True,True,False,97,105.743,5,108
38,38,2,42,True,True,False,145,137.591,10,186
39,39,2,42,True,True,False,225,188.863,18,410
40,40,2,42,True,True,False,61,46.186,4,71
41,41,2,42,True,True,False,15,34.506,0,15
42,42,2,42,True,True,False,13,32.514,0,13
43,43,2,42,True,True,False,76,80.591,5,90
44,44,2,42,True,True,False,172,158.825,7,257
45,45,2,42,True,True,False,15,33.952,0,16
46,46,2,42,True,True,False,84,89.456,6,107
47,47,2,42,True,True,False,136,124.359,11,186
48,48,2,42,True,True,False,7,26.67,0,7
49,49,2,42,True,True,False,152,137.352,12,234
50,50,2,42,True,True,False,21,36.189,1,25
51,51,2,42,True,True,False,19,33.253,2,22
52,52,2,42,True,True,False,14,33.742,0,16
53,53,2,42,True,True,False,11,30.668,0,12
54,54,2,42,True,True,False,110,106.482,8,136
55,55,2,42,True,True,False,38,48.328,3,46
56,56,2,42,True,True,False,47,36.054,4,62
57,57,2,42,True,True,False,16,31.92,1,16
58,58,2,42,True,True,False,117,93.739,16,227
59,59,2,42,True,True,False,52,48.831,6,82
60,60,2,42,True,True,False,166,145.252,14,252
61,61,2,42,True,True,False,13,32.32,0,13
62,62,2,42,True,True,False,47,49.802,5,65
63,63,2,42,True,True,False,27,33.739,2,39
64,64,2,42,False,False,True,140,86.675,13,520
65,65,2,42,True,True,False,27,14.668,2,68
66,66,2,42,True,True,False,12,31.81,0,12
67,67,2,42,True,True,False,29,34.402,4,37
68,68,2,42,True,True,False,56,62.394,5,77
69,69,2,42,True,True,False,58,60.469,5,74
70,70,2,42,True,True,False,37,49.095,3,47
71,71,2,42,True,True,False,18,33.612,1,20
72,72,2,42,True,True,False,40,48.61,4,47
73,73,2,42,False,False,True,214,112.9,30,520
74,74,2,42,True,True,False,11,29.245,0,11
75,75,2,42,True,True,False,42,51.416,4,49
76,76,2,42,True,True,False,113,63.972,9,203
77,77,2,42,True,True,False,82,88.017,5,100
78,78,2,42,True,True,False,28,44.039,1,29
79,79,2,42,True,True,False,68,78.901,2,73
80,80,2,42,True,True,False,79,-21.247,6,274
81,81,2,42,True,True,False,15,34.415,0,15
82,82,2,42,True,True,False,107,109.749,4,160
83,83,2,42,True,True,False,232,199.479,13,470
84,84,2,42,True,True,False,84,89.428,5,104
85,85,2,42,True,True,False,120,113.468,10,165
86,86,2,42,True,True,False,8,27.615,0,8
87,87,2,42,True,True,False,85,94.06,4,94
88,88,2,42,True,True,False,123,126.672,6,175
89,89,2,42,True,True,False,57,51.484,3,60
90,90,2,42,True,True,False,36,46.905,3,43
91,91,2,42,True,True,False,66,77.794,3,72
92,92,2,42,True,True,False,166,61.514,18,294
93,93,2,42,True,True,False,13,31.756,0,17
94,94,2,42,True,True,False,32,18.242,1,77
95,95,2,42,True,True,False,19,34.707,1,20
96,96,2,42,True,True,False,45,61.589,1,51
